t,Mem,Cpu,Comment
0,226.4,0.0,
100,226.4,0.0,
200,226.4,0.0,
301,226.4,0.0,
401,226.4,0.0,
501,226.4,0.0,
601,226.4,0.0,
701,226.4,0.0,
802,226.4,0.0,
902,226.4,10.0,
1002,226.4,0.0,
1102,227.2,0.0,
1203,227.2,0.0,
1303,227.2,0.0,
1403,227.2,0.0,
1503,227.2,0.0,
1603,227.2,0.0,
1704,227.2,10.0,
1804,227.2,0.0,
1904,227.2,0.0,
2004,227.2,0.0,
2105,227.5,0.0,
2205,227.5,0.0,
2305,227.7,0.0,
2405,227.7,20.0,
2505,227.7,0.0,
2606,228.0,0.0,
2706,228.0,0.0,
2806,228.2,0.0,
2906,228.2,0.0,
3006,228.5,0.0,
3107,228.5,10.0,
3207,228.5,0.0,
3307,228.7,0.0,
3407,228.7,0.0,
3507,229.0,0.0,
3608,229.0,0.0,
3708,229.4,10.0,
3808,229.4,0.0,
3908,229.4,0.0,
4008,229.7,0.0,
4109,229.7,0.0,
4209,229.9,0.0,
4309,229.9,0.0,
4409,230.2,10.0,
4509,230.2,0.0,
4610,230.2,0.0,
4710,230.4,0.0,
4810,230.4,0.0,
4910,230.4,0.0,
5010,230.7,10.0,
5111,230.7,0.0,
5211,230.7,10.0,
5311,231.0,0.0,
5411,231.0,0.0,
5512,231.2,0.0,
5612,231.2,0.0,
5712,231.2,0.0,
5812,231.5,10.0,
5912,231.5,0.0,
6013,231.5,0.0,
6113,231.7,0.0,
6213,231.7,10.0,
6313,231.7,0.0,
6413,232.0,0.0,
6514,232.0,0.0,
6614,232.2,0.0,
6714,232.2,0.0,
6814,232.2,0.0,
6915,232.5,10.0,
7015,232.5,0.0,
7115,232.5,0.0,
7215,232.8,0.0,
7315,232.8,0.0,
7416,232.8,0.0,
7516,233.0,20.0,
7616,233.0,0.0,
7716,233.0,0.0,
7816,233.3,0.0,
7917,233.3,0.0,
8017,233.3,0.0,
8117,233.5,0.0,
8217,233.5,10.0,
8317,233.5,0.0,
8418,233.5,0.0,
8518,233.8,0.0,
8618,233.8,0.0,
8718,233.8,0.0,
8818,234.0,0.0,
8919,234.0,10.0,
9019,234.0,0.0,
9119,234.3,0.0,
9219,234.3,0.0,
9320,234.3,0.0,
9420,234.6,0.0,
9520,234.6,0.0,
9620,234.8,0.0,
9720,234.8,10.0,
9821,234.8,0.0,
9921,234.8,10.0,
10021,235.1,0.0,
10121,235.1,0.0,
10222,235.1,0.0,tcpreplay finished
10322,235.1,0.0,
10423,235.1,0.0,
10523,235.1,0.0,
10624,235.1,0.0,
10724,235.1,0.0,
10824,235.1,0.0,
10925,235.1,0.0,
11025,235.1,0.0,
11125,235.1,0.0,
11226,235.1,0.0,
11326,235.1,0.0,zeek terminated
