t,Mem,Cpu,Comment
0,226.3,0.0,
100,226.3,0.0,
200,226.7,0.0,
301,226.7,0.0,
401,226.7,0.0,
501,226.7,0.0,
601,226.7,10.0,
701,226.7,0.0,
802,226.7,10.0,
902,226.7,0.0,
1002,226.7,0.0,
1102,226.7,0.0,
1202,226.7,0.0,
1303,226.7,10.0,
1403,226.7,0.0,
1503,226.7,0.0,
1603,226.7,0.0,
1703,226.7,0.0,
1804,226.7,0.0,
1904,226.7,0.0,
2004,227.4,10.0,
2104,227.4,0.0,
2205,227.4,0.0,
2305,227.6,0.0,
2405,227.6,0.0,
2505,227.9,0.0,
2605,227.9,10.0,
2706,228.1,0.0,
2806,228.1,0.0,
2906,228.4,0.0,
3006,228.4,0.0,
3106,228.4,0.0,
3207,228.7,10.0,
3307,228.7,0.0,
3407,228.7,0.0,
3507,228.9,0.0,
3607,229.4,10.0,
3708,229.4,0.0,
3808,229.4,10.0,
3908,229.6,0.0,
4008,229.6,0.0,
4108,229.9,0.0,
4209,229.9,0.0,
4309,229.9,0.0,
4409,230.2,10.0,
4509,230.2,0.0,
4610,230.4,0.0,
4710,230.4,0.0,
4810,230.4,0.0,
4910,230.7,0.0,
5010,230.7,0.0,
5111,230.7,0.0,
5211,230.9,10.0,
5311,230.9,0.0,
5411,231.2,0.0,
5511,231.2,0.0,
5612,231.2,0.0,
5712,231.5,10.0,
5812,231.5,0.0,
5912,231.5,0.0,
6012,231.7,0.0,
6113,231.7,0.0,
6213,231.7,0.0,
6313,232.0,20.0,
6413,232.0,0.0,
6513,232.2,0.0,
6614,232.2,0.0,
6714,232.2,0.0,
6814,232.5,0.0,
6914,232.5,10.0,
7014,232.5,0.0,
7115,232.7,0.0,
7215,232.7,0.0,
7315,232.7,0.0,
7415,233.0,0.0,
7515,233.0,10.0,
7616,233.0,0.0,
7716,233.3,0.0,
7816,233.3,0.0,
7916,233.3,0.0,
8016,233.5,0.0,
8117,233.5,10.0,
8217,233.5,0.0,
8317,233.8,0.0,
8417,233.8,0.0,
8517,233.8,0.0,
8618,233.8,0.0,
8718,234.0,10.0,
8818,234.0,0.0,
8918,234.0,10.0,
9018,234.3,0.0,
9119,234.3,0.0,
9219,234.3,0.0,
9319,234.5,10.0,
9419,234.5,0.0,
9519,234.8,0.0,
9620,234.8,0.0,
9720,234.8,0.0,
9820,235.1,0.0,
9920,235.1,0.0,
10021,235.1,10.0,
10121,235.3,0.0,
10221,235.3,0.0,tcpreplay finished
10322,235.3,0.0,
10422,235.3,0.0,
10523,235.3,0.0,
10623,235.3,0.0,
10723,235.3,0.0,
10824,235.3,0.0,
10924,235.3,0.0,
11025,235.3,0.0,
11125,235.3,0.0,
11226,235.3,0.0,
11326,235.3,0.0,zeek terminated
