t,Mem,Cpu,Comment
0,226.2,0.0,
100,226.2,0.0,
200,226.2,0.0,
301,226.2,10.0,
401,226.2,0.0,
501,226.2,0.0,
601,226.2,0.0,
702,226.2,0.0,
802,226.2,0.0,
902,226.2,10.0,
1002,226.2,10.0,
1103,227.0,0.0,
1203,227.0,0.0,
1303,227.0,0.0,
1403,227.0,10.0,
1503,227.0,0.0,
1604,227.0,0.0,
1704,227.0,0.0,
1804,227.0,0.0,
1904,227.0,10.0,
2004,227.0,0.0,
2105,227.3,0.0,
2205,227.3,0.0,
2305,227.3,0.0,
2405,227.5,10.0,
2505,227.5,0.0,
2606,227.8,0.0,
2706,227.8,0.0,
2806,228.0,10.0,
2906,228.0,10.0,
3006,228.3,0.0,
3107,228.3,0.0,
3207,228.3,0.0,
3307,228.5,0.0,
3407,228.5,10.0,
3507,228.8,0.0,
3608,228.8,0.0,
3708,229.2,0.0,
3808,229.2,0.0,
3908,229.2,10.0,
4008,229.5,0.0,
4109,229.5,0.0,
4209,229.7,0.0,
4309,229.7,0.0,
4409,229.7,0.0,
4509,230.0,10.0,
4610,230.0,10.0,
4710,230.3,0.0,
4810,230.3,0.0,
4910,230.3,0.0,
5011,230.5,10.0,
5111,230.5,0.0,
5211,230.5,0.0,
5311,230.8,0.0,
5411,230.8,0.0,
5512,231.0,0.0,
5612,231.0,10.0,
5712,231.0,0.0,
5812,231.3,0.0,
5912,231.3,0.0,
6013,231.3,0.0,
6113,231.6,10.0,
6213,231.6,0.0,
6313,231.6,0.0,
6413,231.8,0.0,
6514,231.8,10.0,
6614,232.1,0.0,
6714,232.1,10.0,
6814,232.1,0.0,
6914,232.3,0.0,
7015,232.3,0.0,
7115,232.3,0.0,
7215,232.6,0.0,
7315,232.6,10.0,
7415,232.6,0.0,
7516,232.8,0.0,
7616,232.8,0.0,
7716,232.8,0.0,
7816,233.1,0.0,
7917,233.1,10.0,
8017,233.1,0.0,
8117,233.4,0.0,
8217,233.4,0.0,
8317,233.4,0.0,
8418,233.4,0.0,
8518,233.6,20.0,
8618,233.6,0.0,
8718,233.6,0.0,
8818,233.9,0.0,
8919,233.9,0.0,
9019,233.9,0.0,
9119,234.1,10.0,
9219,234.1,0.0,
9319,234.1,0.0,
9420,234.4,0.0,
9520,234.4,0.0,
9620,234.6,0.0,
9720,234.6,10.0,
9820,234.6,0.0,
9921,234.6,0.0,
10021,234.9,0.0,
10121,234.9,0.0,
10221,234.9,0.0,tcpreplay finished
10322,234.9,0.0,
10423,234.9,0.0,
10523,234.9,0.0,
10623,234.9,0.0,
10724,234.9,0.0,
10824,234.9,0.0,
10924,234.9,0.0,
11025,234.9,0.0,
11125,234.9,0.0,
11225,234.9,0.0,
11326,234.9,0.0,zeek terminated
